company_name,homepage_url,status,team_page_url,team_page_status,has_cmo,has_vp_marketing,has_head_of_marketing,has_marketing_director,has_marketing_manager,has_head_of_growth,has_vp_growth,has_head_of_content,has_content_director,has_head_of_seo,marketing_titles_count,marketing_titles_list,has_marketing_leader,marketing_leader_seniority,founder_has_marketing_title,founder_marketing_pattern,mentions_fractional,fractional_mention_context,careers_page_url,careers_page_status,marketing_jobs_open_count,marketing_job_titles,linkedin_company_url,confidence_tier,error_note,team_page_real
github.com,https://github.com/,ok,https://github.com/team,ok,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,https://www.github.careers/careers-home,ok,0,,https://www.linkedin.com/company/github,high,,true
fastly.net,https://www.fastly.com/,ok,https://www.fastly.com/products,fake_redirect,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,https://www.fastly.com/about/careers,ok,0,,https://www.linkedin.com/company/fastly,high,,false
office.com,https://www.office.com/,ok,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=639169694366309604.ZGI3NGRjNTUtMTFlNC00Nzg0LWI2NmMtNTcwMWNiMzk4N2E2MzNmODllZGYtOTZhNy00ZDkyLTg5Y2EtZjc1MmYxMTk4ZTc3&ui_locales=en-US&mkt=en-US&client-request-id=67b5bd77-1572-4bc0-af81-70bf144e4351&state=sc0kyo2h9cFmgoPvLvoJSh-Tf1OQVtaVgBHw-v7oh8Hy5UVRzS6FNE7i8dF8HmaEvcF-Lqkh3rfih6gLeF5a-1Zu5vDNFWxNp3Kr4GlRsKHjz6uMj51b3DpeXMu7qByJ4pbhaZuydZiMgbxlUTbiGD9TRMVNFgBM2C92Xg2IkBQ-bFT23TNENR6ORon6Tj0pudj27I8hmRwpOVSEnof-I-ljAIbR6QHWEPR0F5RIjb3tpgja6sFEFLcfe8XYRgTxC5qrXQu5WJeF7_ogYeuVghVMTm9yorZxu27J0SDAUllR4C5oyv5nmNKMBLUKRAIkmKnm2mJjq3kDZ-UmCXB4kDUlIedn83RU-4xffCdimoHGPAxEOdFucinvBA4yKNaCQgQ2dpZxrkJPriVvtXl5jfi5xByEP-LNIOcG-KzDPW61MocpvuaIt-3M-pOE9KN8_QEN8bePfJF86asIHsgkRX3FajgwIOXMsZRhPORi_vctbUO-5xBwsiYSyLnjseHs&x-client-SKU=ID_NET8_0&x-client-ver=8.14.0.0,fake_redirect,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=639169694368903246.ZjU5MjA2MDQtMzAxOC00YjE1LWI1NzctOWYyNzA1MmYxM2M4NmE5YTUxODEtZDE3OS00NGEzLWJmZjktY2Q2MDM2MWEwZjA1&ui_locales=en-US&mkt=en-US&client-request-id=d4542df5-baf6-45ba-ba4b-23c29b171655&state=VaIKH7hfao9-RI4oSGOkoQc8ETiKjgv7EZ_EWEeDXl3QAXqJS3j_1wbuXd-GZUWQNHpoERoT1Gpp6TSHBFEV6h0SNHY1SisaOXyI-bg7jauwP4P17eCwZxrug9kMt3kC63AX55Gvu2wsQ7ikq3BspM0SKFAX2Gw7TQ5qU1032MHaWKclbpdw-WhOnUEIGJlq_Gc-k6OF4JA28DT89f7G8Da6zomS18YIeWAax-Pgt219Wip3RC9-It3_FsOvNqBiaPH8OV8WqxEVq0IzN6GXxwLhj2kxiylCWcHD-9G1Ep_YujPOXyeEi0ilEPlqfqgjY5684v5fHtdBFEII6ugkpblM3DvuMjnHq6o4qQs2tm5rD-xzlMVfmUwpM5ujh8YZdJ3r75EB4j4lBdWo6OtBv4YV4Jswh5jzGGIewSqdEf55FiEW1eDN1VRVsoZanvXbep5WdLUr12Po9pASDuk4IL9NUs3HQ4cXhvAyTLWszzpGsDBj6t4N67U_a9fQrMihZkkwlYog14KP8PniziV1mQ&x-client-SKU=ID_NET8_0&x-client-ver=8.14.0.0,ok,0,,https://www.linkedin.com/company/3509299,high,,false
chatgpt.com,https://chatgpt.com/,ok,https://chatgpt.com/team,ok,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,https://chatgpt.com/careers,ok,0,,,medium,,true
vimeo.com,https://vimeo.com/,ok,https://vimeo.com/team,ok,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,https://vimeo.com/careers,ok,1,"Associate, Marketing I manage a Talent Acquisition team at Vimeo",https://www.linkedin.com/company/vimeo,high,,true
zoom.us,https://www.zoom.com/,ok,https://www.zoom.com/en/about/,ok,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,https://careers.zoom.us/home,ok,0,,https://www.linkedin.com/company/zoom,high,,true
wordpress.com,https://wordpress.com/,ok,https://wordpress.com/about/,ok,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,https://wordpress.com/careers/,ok,0,,,medium,,true
bit.ly,https://bitly.com/,ok,https://bitly.com/pages/about,ok,true,false,false,false,false,false,false,false,false,false,1,chief marketing officer,true,cmo,false,,false,,https://topresume.com/,ok,0,,https://www.linkedin.com/company/bitly,high,,true
b-cdn.net,https://bunny.net/,ok,https://bunny.net/about/,ok,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,https://bunny.net/careers/,ok,0,,https://www.linkedin.com/company/bunnynet,high,,true
one.one,https://www.one.com/en-gb/,ok,https://www.one.com/en-gb/about/,ok,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,,missing,,,https://www.linkedin.com/company/one,medium,,true
oxylabs.io,https://oxylabs.io/,ok,https://oxylabs.io/about-us,ok,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,,missing,,,https://www.linkedin.com/company/oxylabs-io,medium,,true
vungle.com,https://liftoff.ai/,ok,https://liftoff.ai/mobile-heroes/about/,ok,false,false,false,false,false,false,false,false,false,false,0,,false,,false,,false,,https://liftoff.ai/company/careers/,ok,0,,https://www.linkedin.com/company/liftoffmobile,high,,true
