company_name,homepage_url,source,tranco_rank,saas_verified,signals_matched,signals_detail
github.com,https://github.com/,tranco,28,y,4,cta|b2b|pricing|login
fastly.net,https://www.fastly.com/,tranco,35,y,3,cta|b2b|pricing
office.com,https://www.office.com/,tranco,22,y,3,b2b|pricing|login
chatgpt.com,https://chatgpt.com/,tranco,70,y,3,b2b|fp|pricing
vimeo.com,https://vimeo.com/,tranco,71,y,3,cta|b2b|pricing
cloud.microsoft,https://m365.cloud.microsoft/,tranco,57,y,3,b2b|pricing|login
zoom.us,https://www.zoom.com/,tranco,76,y,4,cta|b2b|pricing|login
wordpress.com,https://wordpress.com/,tranco,98,y,4,cta|b2b|fp|pricing
bit.ly,https://bitly.com/,tranco,102,y,4,cta|b2b|fp|pricing
b-cdn.net,https://bunny.net/,tranco,115,y,5,cta|b2b|fp|pricing|login
one.one,https://www.one.com/en-gb/,tranco,160,y,4,cta|b2b|fp|login
oxylabs.io,https://oxylabs.io/,tranco,220,y,3,cta|b2b|pricing
vungle.com,https://liftoff.ai/,tranco,194,y,3,b2b|fp|login
ubuntu.com,https://ubuntu.com/,tranco,235,y,3,cta|b2b|pricing
cpanel.net,https://www.cpanel.net/,tranco,208,y,3,cta|b2b|pricing
shopify.com,https://www.shopify.com/,tranco,161,y,3,cta|b2b|pricing
forter.com,https://www.forter.com/,tranco,260,y,4,cta|b2b|fp|pricing
salesforce.com,https://www.salesforce.com/eu/?ir=1&bc=DB,tranco,274,y,4,cta|b2b|pricing|login
hubspot.com,https://www.hubspot.com/,tranco,246,y,5,cta|b2b|fp|pricing|login
dnsmadeeasy.com,https://dnsmadeeasy.com/,tranco,291,y,3,cta|b2b|pricing
linktr.ee,https://linktr.ee/,tranco,254,y,5,cta|b2b|fp|pricing|login
launchdarkly.com,https://launchdarkly.com/,tranco,320,y,4,cta|b2b|fp|pricing
hcaptcha.com,https://www.hcaptcha.com/,tranco,310,y,3,cta|b2b|pricing
trueconf.net,https://trueconf.com/,tranco,324,y,4,cta|b2b|pricing|login
checkpoint.com,https://www.checkpoint.com/,tranco,338,y,3,cta|b2b|fp
slack.com,https://slack.com/,tranco,331,y,3,cta|b2b|pricing
amplitude.com,https://amplitude.com/,tranco,325,y,4,cta|b2b|fp|pricing
appsflyer.com,https://www.appsflyer.com/,tranco,305,y,3,cta|b2b|pricing
calendly.com,https://calendly.com/,tranco,384,y,5,cta|b2b|fp|pricing|login
gitlab.com,https://about.gitlab.com/,tranco,393,y,3,cta|b2b|pricing
plesk.com,https://www.plesk.com/,tranco,380,y,5,cta|b2b|fp|pricing|login
zendesk.com,https://www.zendesk.com/,tranco,382,y,4,cta|b2b|pricing|login
aliyun.com,https://www.alibabacloud.com/en?_p_lc=1&f-8DC992C756BA=,tranco,353,y,4,cta|b2b|pricing|login
wp.com,https://wordpress.com/,tranco,434,y,4,cta|b2b|fp|pricing
slideshare.net,https://www.slideshare.net/,tranco,502,y,4,cta|b2b|fp|login
behance.net,https://www.behance.net/,tranco,495,y,3,cta|b2b|login
docker.com,https://www.docker.com/,tranco,510,y,4,cta|b2b|pricing|login
dynatrace.com,https://www.dynatrace.com/,tranco,526,y,4,cta|b2b|fp|pricing
visualstudio.com,https://visualstudio.microsoft.com/,tranco,533,y,3,cta|b2b|pricing
trendmicro.com,https://www.trendmicro.com/en_gb/business.html,tranco,534,y,3,cta|b2b|login
hotjar.com,https://contentsquare.com/hotjar/?utm_campaign=exp__hj_hp_redirection,tranco,564,y,5,cta|b2b|fp|pricing|login
okta.com,https://www.okta.com/,tranco,547,y,4,cta|b2b|pricing|login
cookielaw.org,https://www.onetrust.com/products/cookie-consent/,tranco,580,y,3,b2b|pricing|login
wix.com,https://www.wix.com/,tranco,554,y,3,cta|b2b|login
surveymonkey.com,https://www.surveymonkey.com/,tranco,571,y,5,cta|b2b|fp|pricing|login
onetrust.com,https://www.onetrust.com/,tranco,611,y,3,b2b|pricing|login
braze.com,https://www.braze.com/,tranco,620,y,3,cta|b2b|pricing
